"symbol","name","sector","industry","curr_close","prev_close","volume","change"
"MSON","MISONIX, Inc.","Capital Goods","Medical Specialities","6.09","5.72",17600,"-6.46853146853148"
"MIND","Mitcham Industries, Inc.","Technology","Diversified Commercial Services","13.98","14.85",83900,"5.85858585858585"
"MITK","Mitek Systems, Inc.","Technology","Computer peripheral equipment","5.26","5.32",478800,"1.12781954887219"
"MITL","Mitel Networks Corporation","Technology","Radio And Television Broadcasting And Communications Equipment","3.5","3.5",18900,0
"MKSI","MKS Instruments, Inc.","Capital Goods","Industrial Machinery/Components","25.74","26.87",327600,"4.20543356903611"
"MINI","Mobile Mini, Inc.","Capital Goods","Metal Fabrications","27.9","28.13",320700,"0.817632420902947"
"MOCO","MOCON, Inc.","Capital Goods","Industrial Machinery/Components","14.44","14.5",2400,"0.413793103448279"
"MPAC","MOD-PAC CORP.","Consumer Durables","Containers/Packaging","8.29","8.35",64100,"0.718562874251505"
"MLNK","ModusLink Global Solutions, Inc","Misc","Business Services","2.69","2.8",367300,"3.92857142857143"
"MOLXA","Molex Incorporated","Capital Goods","Electrical Products","23.01","23.31",195600,"1.28700128700128"
"MOLX","Molex Incorporated","Capital Goods","Electrical Products","27.17","27.57",710700,"1.45085237577076"
"MNTA","Momenta Pharmaceuticals, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","11.47","12.32",546600,"6.89935064935064"
"MCRI","Monarch Casino & Resort, Inc.","Consumer Services","Hotels/Resorts","12.5","12.87",55000,"2.87490287490287"
"MNRK","Monarch Financial Holdings, Inc.","Finance","Major Banks","10.67","10.69",22000,"0.187090739008411"
"MDLZ","Mondelez International, Inc.","Consumer Non-Durables","Packaged Foods","31.46","31.45",11243800,"-0.03179650238474"
"MPWR","Monolithic Power Systems, Inc.","Technology","Semiconductors","23.35","24.12",343400,"3.19237147595356"
"TYPE","Monotype Imaging Holdings Inc.","Technology","EDP Services","22.27","23.18",282500,"3.92579810181191"
"MNRO","Monro Muffler Brake, Inc.","Consumer Services","Automotive Aftermarket","40.92","41.36",377200,"1.06382978723404"
"MRCC","Monroe Capital Corporation","Finance","Asset management","15.1","15.25",21200,"0.983606557377048"
"MNST","Monster Beverage Corporation","Consumer Non-Durables","Beverages (Production/Distribution)","55.92","56.4",1925600,"0.851063829787224"
"MHGC","Morgans Hotel Group Co.","Consumer Services","Hotels/Resorts","6.04","6.13",175000,"1.46818923327895"
"MORN","Morningstar, Inc.","Finance","Investment Managers","65.83","66.01",25500,"0.272685956673246"
"MOSY","MoSys, Inc.","Technology","Semiconductors","4.15","4.52",156300,"8.18584070796459"
"MPAA","Motorcar Parts of America, Inc.","Capital Goods","Auto Parts:O.E.M.","5.95","5.98",13700,"0.501672240802675"
"MOVE","Move, Inc.","Finance","Real Estate","11.29","11.41",385800,"1.05170902716916"
"MNTG","MTR Gaming Group, Inc.","Consumer Services","Hotels/Resorts","3.31","3.45",89900,"4.05797101449276"
"MTSC","MTS Systems Corporation","Capital Goods","Industrial Machinery/Components","60.3","60.95",261400,"1.06644790812142"
"LABL","Multi-Color Corporation","Misc","Publishing","25.75","25.86",49000,"0.425367362722351"
"MFLX","Multi-Fineline Electronix, Inc.","Technology","Electrical Products","14.82","15.24",85200,"2.75590551181102"
"MBND","Multiband Corporation","Public Utilities","Telecommunications Equipment","2.17","2.17",7500,0
"MGAM","Multimedia Games Holding Company, Inc.","Consumer Services","Services-Misc. Amusement & Recreation","24.35","24.66",501200,"1.25709651257097"
"MFSF","MutualFirst Financial Inc.","Finance","Major Banks","16.03","16.07",4800,"0.248911014312381"
