"","tax-2000","tax-2001","tax-2002","tax-2003","tax-2004","tax-2005","tax-2006","tax-2007","tax-2008","tax-2009","tax-2010","tax-2011","muni"
"36",0.374720662778656,0.373707260284942,0.363396105737611,0.35476265232253,0.333833222086414,0.3251891867759,0.325446202540034,0.33368620173478,0.346280892164196,0.327976374090387,0.301602464418477,0.309320031504332,"Guldborgsund"
"37",0.386519848308937,0.387735067975199,0.377632420717298,0.370149864457061,0.349846441779782,0.338809378224481,0.341865924941651,0.344139908156187,0.35290549294371,0.330328351696302,0.302026465511731,0.307395052139701,"Holbæk"
"38",0.384274923111327,0.386329159023662,0.377798672235704,0.367897555995595,0.347247235541002,0.337193928816965,0.338025092066663,0.349357227583112,0.363924378512667,0.330949675249684,0.300564783078621,0.30418458781362,"Kalundborg"
"39",0.380901447352388,0.381673019604278,0.371487856102222,0.362371618498724,0.344916664145921,0.341736432018707,0.342191130317154,0.351325957316255,0.362698653843613,0.340475176385623,0.313566971366558,0.318960988122341,"Lolland"
"40",0.383018431899091,0.383831110613023,0.372536755769078,0.365392554782879,0.345682197206587,0.336842556172343,0.338604183485529,0.343155932810298,0.353978862294063,0.326297542806366,0.297614965347964,0.298158539300824,"Næstved"
"41",0.377551714541913,0.377090358441031,0.365915185739123,0.362033944208721,0.341518164921047,0.323910646443665,0.325281407254168,0.342824008791294,0.344721646704018,0.322779086292398,0.295625211602774,0.298382974208607,"Odsherred"
"42",0.3949960118302,0.393163952501448,0.381327398276551,0.372907948465132,0.352067777701665,0.342328644739416,0.344831227183375,0.340966248939575,0.352193670920841,0.330825690840426,0.301266621780845,0.30801297282876,"Ringsted"
"43",0.380108031219919,0.379453836150845,0.36728953242145,0.363278282643559,0.342632974643319,0.331206262097718,0.332941443497732,0.339956099060501,0.34746099453756,0.322109045319064,0.295773848649211,0.291796959367458,"Slagelse"
"44",0.394922922252011,0.393416505437321,0.38234141191351,0.37480353785941,0.35435843180202,0.340513425085137,0.344166533664698,0.351072497633631,0.365205872419193,0.334164783251851,0.311258362861858,0.308220460776743,"Sorø"
"45",0.390333248670488,0.387240588833618,0.381909510399096,0.370873724816576,0.348690196601514,0.338394476758797,0.333192866645633,0.334856219177388,0.345916525096367,0.330942675159236,0.299796686511453,0.305465255316662,"Stevns"
"46",0.381329736240505,0.380112238508314,0.369977086173391,0.36281395342238,0.343362950059688,0.334868384105004,0.336394960117607,0.339537438964904,0.354049005873823,0.331173788044017,0.300583737366428,0.303469028152323,"Vordingborg"
"47",0.386274415047999,0.39120480804558,0.38396659439836,0.37936581899211,0.356962006028854,0.352396414862847,0.35342866352429,0.357298987792985,0.376687946092122,0.339992148605485,0.309201601574399,0.313172516864966,"Assens"
"48",0.38320113690851,0.386467941130491,0.38077789687835,0.373989086816222,0.352683876974127,0.346298324056331,0.348512114711853,0.35145536481083,0.36453164174187,0.335550382440971,0.305569525896522,0.302631988164051,"Faaborg-Midtfyn"
"49",0.382232838725909,0.385789632348822,0.376088356300765,0.371967848796898,0.350335019151021,0.346320129055386,0.345164787010771,0.347066981061915,0.364030538061901,0.333673384319042,0.307656139296219,0.30580077801864,"Kerteminde"
